item,crop_id,days_seen,first_seen,last_seen,median_mode_price,peak_month,trough_month,median_qty_t,notes
جوافة/فجيوه,,1399,8/1/2015,8/6/2026,200,Jun,Mar,7.48,
كيم كواك,,1369,10/21/2015,5/30/2026,150,Oct,Nov,0.53,
دراق كعكه,,1348,8/1/2015,8/6/2026,100,Apr,Aug,29.12,
فرنساوي,,1296,10/6/2015,4/12/2026,40,Oct,Jan,6.87,
حويرنة,,1284,11/7/2015,5/23/2026,20,May,Mar,0.38,
ماوردي/دم زغلول,,1258,10/26/2015,4/20/2026,40,Apr,Jan,28.37,
حمص (فرط),,1247,3/2/2016,6/30/2026,225,Dec,Jul,4.47,
شموطي,,1245,10/10/2015,4/28/2026,60,Mar,Nov,9.3,
ورق لسان,,1236,10/7/2015,7/2/2026,50,Oct,Jan,1.62,
خوخ,,1198,8/1/2015,8/6/2026,150,Oct,Mar,16.66,
كلمنتينا/ميرندا,,1189,9/3/2015,3/11/2026,60,Aug,May,58.61,
لخنه,,1165,9/6/2015,5/25/2026,100,Sep,Oct,0.18,
جزر اسود,,1091,10/26/2015,4/15/2026,50,Oct,May,0.62,
بلح,,1073,8/1/2015,8/6/2026,70,Oct,Sep,13.95,
بلدي/بلنسيا,,1073,9/2/2015,5/23/2023,40,Jul,Nov,6.6,
مشمش,,1054,8/1/2015,8/6/2026,100,Apr,Sep,35.77,
ثوم أخضر,,1017,3/9/2016,8/5/2026,80,Oct,Apr,21.51,
زيتون,,901,8/11/2015,7/7/2026,100,Nov,Feb,9.49,
مندلينا,,854,10/12/2015,5/21/2026,60,Mar,Dec,21.85,
جزر بدون ورق,,818,1/21/2016,8/6/2026,35,Nov,Jun,33.7,
بابونج,,805,12/7/2015,5/7/2026,70,Nov,Apr,0.51,
فاصوليا بلديه,,791,8/12/2015,6/25/2026,140,Aug,Jun,0.17,
إنجاص,,764,8/1/2015,8/6/2026,100,Oct,Mar,4.75,
حمص,,755,3/1/2016,6/25/2026,35,Feb,Jun,6.8,
كنغ,,741,12/2/2015,4/1/2026,50,Mar,Nov,3,
توت,,712,8/1/2015,8/4/2026,150,Nov,Oct,0.66,
اسكدنيا,,685,3/23/2016,7/4/2026,200,,,9.34,
كيل ( كرنب اجعد ),,674,2/17/2018,8/6/2026,500,Jun,Dec,0.01,
رطــب,,658,8/18/2015,3/28/2026,80,Aug,May,1.05,
كاكا,,629,10/13/2015,12/29/2025,180,Jun,Jan,8.68,
أفوجادو,,626,8/1/2015,6/8/2026,150,Jul,Feb,0.3,
لوز أخضر,,607,3/3/2016,6/13/2026,180,Sep,Aug,7.79,
يوسف افندي/سمسوم,,588,10/17/2015,3/15/2026,40,Jan,Dec,0.96,
ورق زهرة,,585,11/3/2015,5/19/2026,50,Dec,Oct,0.14,
كرز/جرنك,,584,3/30/2016,7/29/2026,300,,,7.85,
عناب,,558,8/1/2015,8/5/2026,250,Oct,Jul,0.36,
عين شمس,,549,8/1/2015,8/6/2026,40,Mar,Aug,0.14,
كراث بدون ورق,,515,8/16/2015,8/5/2026,80,May,Jul,0.06,
حمصيص,,515,12/5/2015,2/24/2026,50,Nov,Feb,0.07,
منجا,,471,8/1/2015,7/28/2026,200,Apr,Mar,0.99,
لوف,,470,12/5/2015,4/8/2026,80,,,0.12,
قشطة,,438,8/30/2015,1/1/2026,250,Aug,Oct,0.13,
عكوب,,432,2/1/2016,4/21/2026,400,,,0.24,
بلنسيا,,428,7/6/2023,5/9/2026,40,Apr,Aug,4.58,
دراجون,,408,10/13/2021,8/6/2026,500,Jun,Nov,0.27,
قصب سكر,,404,8/11/2015,8/3/2026,40,May,Apr,1.36,
زهره بلديه,,391,1/17/2016,3/9/2026,60,,,1.71,
خشخاش/كبارينو/ميخال/بومليت,,365,1/27/2016,5/2/2026,40,Jan,Jan,0.37,
كركم,,363,3/29/2023,7/30/2026,500,Oct,May,0.07,
كرز احمر وشنه,,317,4/25/2016,7/28/2026,300,Apr,Aug,0.92,
لوز فرك,,304,8/12/2015,8/6/2026,200,Nov,Aug,0.23,
دبس,,282,2/9/2016,8/1/2026,90,Feb,Feb,0.75,
مخلل مشكل,,279,2/8/2016,8/6/2026,90,Feb,Feb,1.21,
فستق حلبي,,253,8/19/2015,10/19/2025,600,,,0.19,
